rep,model,intercept,slope,xstar,sse,tau
232,hinge_plateau_smooth,-2.856638019759805,-0.3256467722529041,-8.455720630673484,30.7547042906601,3.0708119508808736
233,hinge_plateau_smooth,-2.950519606432905,-0.336069493912198,-8.485922993874869,29.329404715837214,2.97557504657433
234,hinge_plateau_smooth,-2.790728895480577,-0.3179597372237816,-8.449042578738926,23.747474635933763,3.145052290995558
235,hinge_plateau_smooth,-2.875568599165464,-0.32689867240473924,-8.478226764323036,23.075173335720415,3.059051884927454
236,hinge_plateau_smooth,-2.948542688909781,-0.3349456220758767,-8.557890018053103,30.747752483076404,2.985559249296489
237,hinge_plateau_smooth,-2.7854598253496095,-0.31751334575996887,-8.445935105125436,26.352587244527133,3.149473914573568
238,hinge_plateau_smooth,-2.610829948465951,-0.2978937939033544,-8.392637837317082,30.193547574466585,3.356901085104276
239,hinge_plateau_smooth,-3.0936895675108524,-0.3492884808659954,-8.595107265251466,24.569585863939977,2.862963008458473
240,hinge_plateau_smooth,-2.840905397259548,-0.32187454162173507,-8.524915571547217,21.5312824971152,3.1068005408616433
241,hinge_plateau_smooth,-3.108687474842828,-0.35107225172708384,-8.591012905737111,27.330626677328603,2.8484165156333088
242,hinge_plateau_smooth,-2.6038686940525753,-0.29636830691103316,-8.429877051455659,31.698900608994883,3.3741799533922165
243,hinge_plateau_smooth,-2.969555421676535,-0.3358416700773408,-8.50211100121276,24.656501068778237,2.977593577859801
244,hinge_plateau_smooth,-2.7560219544127746,-0.3148300159974749,-8.421780441115105,26.43121951521313,3.1763172162339837
245,hinge_plateau_smooth,-2.600096335956252,-0.2972038428102135,-8.39410507674027,24.66644672988034,3.364694044816148
246,hinge_plateau_smooth,-2.7734230963205935,-0.3167604003925649,-8.45315105733735,25.32779303656266,3.1569602726877735
247,hinge_plateau_smooth,-2.7164926521022523,-0.30921510046298556,-8.418607638460445,36.60040178396526,3.2339947127507913
248,hinge_plateau_smooth,-3.000309876493251,-0.3393916271247176,-8.579767740499394,30.15904266205503,2.946448645394914
249,hinge_plateau_smooth,-3.205006370876149,-0.36121849059875955,-8.680404128925925,27.90112560767748,2.7684075594867514
250,hinge_plateau_smooth,-3.3413647063325906,-0.37570355551867307,-8.656668327652877,27.200259218479275,2.661672974107104
251,hinge_plateau_smooth,-2.7404715055358655,-0.3118823379730243,-8.49112799771609,27.903130544010192,3.206337385115066
252,hinge_plateau_smooth,-2.868774207090174,-0.32522791397336925,-8.488744372531166,18.03071406270709,3.0747668236186003
253,hinge_plateau_smooth,-2.8019048430861675,-0.3190308043074558,-8.467237933219861,23.20327654689111,3.1344935551624094
254,hinge_plateau_smooth,-2.7210892045424715,-0.3102265286156114,-8.408856158789321,33.45166784250547,3.2234509552181394
255,hinge_plateau_smooth,-2.453550960295115,-0.2821336061468531,-8.324754940598835,30.50284602993056,3.544420013117795
256,hinge_plateau_smooth,-2.9168320149440214,-0.3309497381208045,-8.53929358966013,27.635889590815733,3.0216068629580732
257,hinge_plateau_smooth,-3.104549252385571,-0.35041647523616726,-8.599609677346855,31.148724792424648,2.8537471000073222
258,hinge_plateau_smooth,-2.809264635999156,-0.3198252190178682,-8.49785420761763,24.581188453534445,3.126707778301033
259,hinge_plateau_smooth,-2.838487752421281,-0.3228264377001098,-8.493188697482195,30.72616481020242,3.0976397321242684
260,hinge_plateau_smooth,-2.808822667232158,-0.3184990354895607,-8.56802918520406,26.481291354416395,3.1397269334361186
261,hinge_plateau_smooth,-3.1235540187709354,-0.35367452505375463,-8.543683763362534,41.21612737402481,2.8274583809733285
262,hinge_plateau_smooth,-3.0743920482183555,-0.34925436369427315,-8.52998052272188,25.616369477598944,2.8632426791247485
263,hinge_plateau_smooth,-2.6327344967926756,-0.3000918265775676,-8.455528032844535,17.875612094809426,3.3323133502322175
264,hinge_plateau_smooth,-2.6249802539177605,-0.29900845497823625,-8.457141014155903,24.82287341863583,3.3443870343826445
265,hinge_plateau_smooth,-2.8395138523785755,-0.32290997226684764,-8.502077358224886,25.592189248945225,3.09683839424326
266,hinge_plateau_smooth,-2.6920092295450173,-0.3086413395781877,-8.398074288474474,23.693608881418626,3.240006673657763
267,hinge_plateau_smooth,-2.914049087736398,-0.3308210895242765,-8.505430391208167,24.470843812737012,3.0227818953078485
268,hinge_plateau_smooth,-3.1193284062260354,-0.3520371417394084,-8.611756887603368,30.55472604676411,2.840609360305052
269,hinge_plateau_smooth,-2.668182580450656,-0.30572053902641594,-8.418250399507757,32.39144480039404,3.2709611306605555
270,hinge_plateau_smooth,-2.7136536756548746,-0.3099326050461357,-8.422248112399014,24.471390407972855,3.2265079043592166
271,hinge_plateau_smooth,-2.898197957039879,-0.32983076514271426,-8.464131851668242,23.285667053157496,3.031857866767858
272,hinge_plateau_smooth,-2.7889471629433453,-0.3175068367755691,-8.486869388719082,26.77095876101849,3.1495384797236783
273,hinge_plateau_smooth,-2.8183357184962636,-0.32151537511883355,-8.471645837097247,24.185894242217532,3.11027116395412
274,hinge_plateau_smooth,-3.0277849629469493,-0.3438243427333223,-8.535999606668865,37.29570697165012,2.9084618967064295
275,hinge_plateau_smooth,-2.792459397292741,-0.31752917359726524,-8.513027871281047,18.660915979020842,3.1493169231383424
276,hinge_plateau_smooth,-2.967678113328039,-0.3358124490875306,-8.538575560173005,26.969905822901776,2.977852675555059
277,hinge_plateau_smooth,-3.002088259997116,-0.3401910681884528,-8.528945171274202,25.394590960954574,2.939524559904196
278,hinge_plateau_smooth,-2.2808915033701913,-0.2630120102109121,-8.214433480088873,28.906375282072844,3.8021077410042587
279,hinge_plateau_smooth,-2.4943892632082476,-0.2872454267668398,-8.289002078253871,27.997993834193963,3.4813435021603
280,hinge_plateau_smooth,-2.6788870009405827,-0.30688054407325194,-8.377782923486787,29.143238056350956,3.258596933930427
281,hinge_plateau_smooth,-2.692118717779364,-0.3073168884646786,-8.467874419895344,34.38549833670559,3.2539702096942675
282,hinge_plateau_smooth,-3.1279713234332807,-0.35456804135818604,-8.581414209360293,27.310452039295694,2.8203331472556377
283,hinge_plateau_smooth,-2.474330244367986,-0.2840379129607411,-8.347198815425418,25.549706736954256,3.520656765768509
284,hinge_plateau_smooth,-2.714348272319823,-0.30911907672943534,-8.472924054827923,28.315089084977764,3.234999310234342
285,hinge_plateau_smooth,-2.832904302363848,-0.3229054010695953,-8.51663535895931,23.05864117827467,3.0968822345107556
286,hinge_plateau_smooth,-2.7189743510492708,-0.3101786494670648,-8.430684098991414,21.12228342726002,3.223948526818837
287,hinge_plateau_smooth,-2.8280149657273084,-0.32089321931514564,-8.517544454959452,31.600567028314202,3.1163014355186833
288,hinge_plateau_smooth,-2.9504354537898796,-0.3333603070596846,-8.564090956020864,30.775523603534154,2.9997572561059607
289,hinge_plateau_smooth,-2.8872850189666517,-0.3279121947722865,-8.48900266909566,26.42041425741993,3.049596861423328
