rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
395,644372,-6.700823319994131,-0.5683769485581984,-11.789400215811192,1.7593957716559399,368221.96399231825,-360580.30772660545,-360557.5556636493,0.8216519956398282,0.8625533189185488,-11.875115456868935,1.0497793755699094,350005.2223443209,-393272.3537443843,-393238.2256499501,0.8970436109540759,0.9076308272170663,-11.87424029932379,1.0118023428668423,350225.75821174844,-392866.4672680338,-392832.3391735996,-8.441996805585292,-0.7225756330052819,0.6169307138348359,-11.34932653955802,0.43549212585127894,1.383938171068509,344475.6103677967,-403529.8390461164,-403472.9588887261,-32692.046017778863,-32680.66998630081,-32286.15954142838,-32274.783509950328,-42949.53131951095,-42915.40322507679
396,645401,-6.668997786992607,-0.5657957443196393,-11.786935221670808,1.7674222721531507,371343.71273259434,-356737.3663549117,-356714.6111006957,0.8229769352293138,0.8681570681986496,-11.873647865501969,1.0548984194274496,352872.8886139603,-389663.84152039175,-389629.70863906766,0.8985066155927185,0.9136203827445565,-11.872733188228365,1.0168209859444026,353082.2045023996,-389281.11834439763,-389246.98546307354,-8.51501954786422,-0.7283518538391055,0.6133900763161104,-11.329287745756499,0.4425355800652135,1.3729627991321103,347202.4925685118,-400115.17079143977,-400058.28265589965,-32926.47516548005,-32915.09753837198,-32543.75198948593,-32532.374362377857,-43377.804436528066,-43343.67155520397
397,644697,-6.705460737940222,-0.5691318635314416,-11.781910603867955,1.7570620520085414,368028.5125597244,-361426.0476315734,-361403.2945601375,0.8257632065781049,0.8691897135792575,-11.86981347173336,1.052589539779943,350340.38411140506,-393178.7318384514,-393144.6022312975,0.9025136278415425,0.9166032834419736,-11.86879313079176,1.0156115710231743,350540.7064865506,-392810.20359724655,-392776.0739900927,-8.44501313595913,-0.7225332445536629,0.6169893745087581,-11.335313193841149,0.4251361081367869,1.3840193617910816,344765.1449877676,-403516.8075853592,-403459.9249067694,-31752.68420687801,-31741.30767116003,-31384.155965673155,-31372.779429955175,-42090.759953785804,-42056.63034663192
398,644080,-6.691750058264874,-0.5676121230502688,-11.789300803344963,1.7617664588031328,368648.6805873922,-359379.00907806633,-359356.2579216244,0.8198754575677474,0.8588490541794892,-11.874082010546774,1.0475359961711275,350252.5889491914,-392347.1605833261,-392313.0338486632,0.8951207333774727,0.9036945707999745,-11.873093462998897,1.0095784145119184,350454.32426255604,-391976.2960127845,-391942.1692781216,-8.390259382651827,-0.7174657948654154,0.6181234913709618,-11.350529484999912,0.40638340673780327,1.3937946688978857,344943.3566967633,-402181.06833912374,-402124.1904480189,-32968.1515052598,-32956.775927038805,-32597.2869347182,-32585.911356497207,-42802.05926105741,-42767.93252639449
399,644461,-6.696883782492408,-0.5680795834705437,-11.788636623022835,1.7603167392335135,370059.45897897525,-357511.13664317346,-357488.38430399843,0.8231523456079263,0.8645372582602838,-11.873797056722282,1.0502761279527102,351779.739026879,-390156.53477995645,-390122.40627119393,0.8994357040106404,0.911252854351745,-11.872767737052953,1.0131384047669123,351995.0143855349,-389762.270630613,-389728.1421218505,-8.51789355547066,-0.7277154143315779,0.6166255201478282,-11.314477491403782,0.42385889780948305,1.3741635539196613,346448.3848008711,-399994.35160963255,-399937.470761695,-32645.398136782984,-32634.0219671955,-32251.133987439563,-32239.757817852078,-42483.21496645908,-42449.08645769657
400,643638,-6.67650158953881,-0.5663481477406531,-11.78868795841135,1.7656983676724733,369616.6697943505,-357002.6992762194,-356979.94949274894,0.8213763761142951,0.8600965376384322,-11.874937570529173,1.0471405833551135,350566.1402658186,-391060.1233254819,-391025.99865027616,0.896659318774283,0.90500772178878,-11.873992134788974,1.00931056293031,350792.0504023361,-390645.48682330357,-390611.36214809783,-8.467269657853707,-0.7240309132999658,0.617207405365066,-11.34033655294776,0.42201251580570975,1.381156497092411,344986.7415184326,-401382.26867352775,-401325.39421485155,-34057.42404926248,-34046.04915752722,-33642.78754708415,-33631.41265534889,-44379.56939730834,-44345.444722102606
401,643514,-6.742952350028064,-0.5721665322073065,-11.784947162175099,1.7477429099919488,367317.9965407901,-360824.48942718864,-360801.74002906505,0.8237812943380574,0.8573124296826636,-11.873670603050192,1.0407039290344047,349234.2999082337,-393310.23263299995,-393276.10853581456,0.8995209770874011,0.9022794700501823,-11.87269879853518,1.003066624384584,349426.33769467805,-392956.47288021893,-392922.34878303355,-8.41252774763571,-0.7199246055541301,0.6207305339623465,-11.36654698393049,0.4082496575443805,1.3890343409367072,343719.77408413205,-403548.6126676239,-403491.7391723149,-32485.743205811305,-32474.36850674951,-32131.98345303029,-32120.608753968496,-42724.12324043526,-42689.99914324982
402,644094,-6.69992734919126,-0.5683516551362335,-11.788348443509488,1.759474070257261,369281.14622031554,-358296.73920604406,-358273.98800612974,0.818800433798955,0.8524330285618925,-11.875804546286108,1.041075448149061,350593.99416072253,-391742.1706855415,-391708.04388567,0.8937998072833823,0.8968917093940766,-11.874768403498988,1.0034592781129499,350809.17277875595,-391346.9764016139,-391312.8496017424,-8.46339892476915,-0.7233290626362153,0.6162488004870353,-11.350293920491476,0.4045971207036116,1.3824966417849176,345256.1173872371,-401620.0742319618,-401563.196232176,-33445.43147949746,-33434.055879540276,-33050.23719556985,-33038.86159561266,-43323.33502591774,-43289.208226046234
403,644519,-6.7145324729825395,-0.5697969358222735,-11.784079644606727,1.7550111928153855,366614.71107140416,-363629.00450356153,-363606.2519843992,0.8274140490693008,0.8729330476087342,-11.871023021964609,1.0550135673797592,348707.5504560478,-395903.13442981377,-395869.0056510703,0.9043331677146621,0.9204215469579987,-11.87003622277235,1.0177903230996088,348924.71283946116,-395501.876362835,-395467.74758409156,-8.48930076938986,-0.7258946462639654,0.6163769373375783,-11.31914339913306,0.4324141609221027,1.3776103807168163,343183.3813644374,-406191.2409839713,-406134.3596860656,-32274.129926252237,-32262.75366667111,-31872.871859273466,-31861.495599692338,-42562.236480409745,-42528.10770166636
404,643630,-6.679632781289259,-0.5667142758138388,-11.786596996690914,1.7645576310283246,368112.04901662533,-359615.6726059352,-359592.9228473236,0.8235651010002109,0.8692257115308906,-11.872876057291064,1.0554426243599024,350103.39683041815,-391897.4083889193,-391863.2837510019,0.8995704449351072,0.9154532813180665,-11.872052716430344,1.0176560229078058,350302.38151164365,-391531.6989165447,-391497.57427862723,-8.350465450897252,-0.7158628000238976,0.6186118349700634,-11.367434541065249,0.4416021568237334,1.3969157217928032,344539.4574594035,-402204.30372851633,-402147.4293319872,-32281.73578298412,-32270.360903678287,-31916.02631060948,-31904.651431303646,-42588.63112258114,-42554.50648466364
