bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,32292,-0.2026325729363147,0.5412575753076272,0.802468481151088,0.6439556632409341,0.6398496315306434,0.32197783162046706,0.3199248157653217,0.14647988141394586,OU_linear,1,ALL,unweighted,,20,200
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,32066,-0.2779181018000694,0.5493061442501688,0.8144012894653002,0.6632494602827437,0.6874097816491861,0.33162473014137184,0.34370489082459305,0.15086862005549362,OU_linear,1,ALL,unweighted,,20,200
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,32377,-0.2817462349792334,0.5836083246802266,0.8652577021709039,0.7486708911660727,0.7448578478400284,0.37433544558303633,0.3724289239200142,0.1702993383180304,OU_linear,1,ALL,unweighted,,20,200
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,32132,-0.20194789171533895,0.5872318365724367,0.8706299209022946,0.7579964591703358,0.7158128456381704,0.3789982295851679,0.3579064228190852,0.17242061494211852,OU_linear,1,ALL,unweighted,,20,200
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,32375,-0.16535202333840265,0.579344850983058,0.8589366760674817,0.737772213493854,0.7292011233390957,0.368886106746927,0.36460056166954785,0.16782022818029083,OU_linear,1,ALL,unweighted,,20,200
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,31639,-0.11949606572718707,0.5926707983006265,0.8786937255605088,0.7721026633394068,0.735408137184673,0.3860513316697034,0.3677040685923365,0.17562933757915097,OU_linear,1,ALL,unweighted,,20,200
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,32830,-0.047591986416129384,0.5841734177220781,0.866095509114753,0.7501214309087432,0.7221916370550455,0.3750607154543716,0.36109581852752276,0.17062929098654678,OU_linear,1,ALL,unweighted,,20,200
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,32243,0.03434881779283305,0.5612603963105505,0.8321246635700221,0.6924314557215225,0.7080287064946493,0.34621572786076127,0.35401435324732466,0.1575066162333381,OU_linear,1,ALL,unweighted,,20,200
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,32226,0.19448406132463217,0.5365234476313421,0.7954496634582278,0.6327401670958078,0.7031374171666358,0.3163700835479039,0.3515687085833179,0.14392870492911072,OU_linear,1,ALL,unweighted,,20,200
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,32254,0.6718052436963595,0.5354594690816459,0.7938722088604482,0.6302330840009671,1.1242733343957498,0.31511654200048356,0.5621366671978749,0.14335842151459904,OU_linear,1,ALL,unweighted,,20,200
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,32118,0.4650547830926135,0.385921561649502,0.5721673073015516,0.3273754275447082,0.6497435089950703,0.1636877137723541,0.32487175449753514,0.07446772587299517,tanh_saturating,1,ALL,unweighted,,20,200
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,31924,0.132537364575391,0.40950579179688706,0.6071332869180647,0.36861082808393303,0.44617975046091324,0.18430541404196651,0.22308987523045662,0.08384749675759771,tanh_saturating,1,ALL,unweighted,,20,200
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,31311,0.15593188310040473,0.4459544476708519,0.661172064116805,0.43714849836847647,0.4474238473383743,0.21857424918423823,0.22371192366918716,0.0994376846987073,tanh_saturating,1,ALL,unweighted,,20,200
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,33554,-0.03852852380227162,0.4357266999791984,0.6460084053891595,0.41732685983344464,0.4442412841638109,0.20866342991672232,0.22212064208190546,0.09492887853738118,tanh_saturating,1,ALL,unweighted,,20,200
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,32232,0.011406538138437283,0.4873270941949631,0.7225111498534523,0.5220223616625579,0.5051793973045492,0.26101118083127894,0.2525896986522746,0.11874384836825323,tanh_saturating,1,ALL,unweighted,,20,200
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,31714,-0.11381083040484057,0.47054822361385595,0.6976347963299028,0.48669430905026495,0.5062179099814306,0.24334715452513248,0.2531089549907153,0.1107078153730777,tanh_saturating,1,ALL,unweighted,,20,200
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,32767,-0.04655601704204415,0.508733470690197,0.7542482436452861,0.5688904130419988,0.5134756608080958,0.2844452065209994,0.2567378304040479,0.1294048721002468,tanh_saturating,1,ALL,unweighted,,20,200
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,32240,-0.03341602473565531,0.49130668735472766,0.7284112946721192,0.5305830142059128,0.527143505649407,0.2652915071029564,0.2635717528247035,0.12069113051973805,tanh_saturating,1,ALL,unweighted,,20,200
