rep,model,intercept,slope,xstar,sse,tau
160,hinge_plateau_smooth,-5.06823332505744,-0.4982179788585745,-9.82448669023975,97.10054799801958,2.007153580228109
161,hinge_plateau_smooth,-4.925327799308519,-0.48396199225962794,-9.829852830299243,87.09139935610722,2.066277963959485
162,hinge_plateau_smooth,-5.017983276621812,-0.4937680374870509,-9.823759047474624,87.70996078093312,2.0252424703091987
163,hinge_plateau_smooth,-5.028980386598961,-0.4943157586352744,-9.818732469646276,49.518224320521135,2.022998422629369
164,hinge_plateau_smooth,-4.925185463909657,-0.484143191941047,-9.821271925823522,84.25928941468547,2.0655046206283694
165,hinge_plateau_smooth,-4.92472497989956,-0.4843937700751437,-9.819888253798627,90.92315874662994,2.064436129814119
166,hinge_plateau_smooth,-4.96789016027395,-0.48820360932486,-9.821025072728707,73.99916338350063,2.048325700383302
167,hinge_plateau_smooth,-5.108635231247759,-0.5011472913463078,-9.863184226654553,88.1094816036884,1.995421340727092
168,hinge_plateau_smooth,-5.1961591686423505,-0.5098203244547378,-9.867357953550481,55.351259152938,1.9614753512809016
169,hinge_plateau_smooth,-5.168826387150665,-0.5071539552842221,-9.870826924525225,83.60871600974929,1.9717878359828116
170,hinge_plateau_smooth,-5.01969084947493,-0.4925294125620321,-9.862081827573277,70.40289193083665,2.0303355992451597
171,hinge_plateau_smooth,-5.001558004193408,-0.4912401928465966,-9.836306404273278,66.94298056169148,2.035664048996654
172,hinge_plateau_smooth,-5.025267927484049,-0.49412198692725046,-9.821136720844025,102.74782800035553,2.0237917487108907
173,hinge_plateau_smooth,-4.956532911694122,-0.4875191942469462,-9.818386764273047,76.50831914219253,2.051201289714685
174,hinge_plateau_smooth,-5.077843316835239,-0.49910416107708827,-9.829570659851209,81.03447169367223,2.0035897874342643
175,hinge_plateau_smooth,-5.065849619911406,-0.4967177629054906,-9.869799117879982,81.99214560202941,2.0132157025160944
176,hinge_plateau_smooth,-5.11638623647062,-0.5020861259779551,-9.868872091898478,74.84780584427992,1.9916901668059765
177,hinge_plateau_smooth,-5.069331131250294,-0.4975507700118963,-9.85765179459502,89.27483733518973,2.0098451460060858
178,hinge_plateau_smooth,-5.148609160351185,-0.505770662307424,-9.831317134386236,69.46572971242006,1.9771807155397385
179,hinge_plateau_smooth,-5.20425887083901,-0.5104615190306017,-9.87993172931609,90.73322267147066,1.9590115272529505
180,hinge_plateau_smooth,-5.141308504387007,-0.5047467931908747,-9.864024463609613,109.7630637571972,1.9811913884153014
181,hinge_plateau_smooth,-5.132646843662919,-0.5036056130294823,-9.865975653071438,64.22591768023138,1.9856808068210663
182,hinge_plateau_smooth,-5.032062459471334,-0.4944812116245042,-9.837260486281268,93.85313894690688,2.0223215290925416
183,hinge_plateau_smooth,-4.883160339539858,-0.47990154939816404,-9.81713306607668,78.05010281901968,2.0837607239528233
184,hinge_plateau_smooth,-4.870782870307043,-0.479015318825684,-9.812301257727018,108.63126084812018,2.0876159085089823
185,hinge_plateau_smooth,-5.188097033340597,-0.5089616438060436,-9.870952299672032,76.36080225879482,1.9647846005092726
186,hinge_plateau_smooth,-5.200264007586496,-0.5095655840318197,-9.882273397799903,80.36935073223066,1.9624559258647953
187,hinge_plateau_smooth,-5.040893808534602,-0.49554964400879054,-9.819561896809383,76.09741413117894,2.017961292254023
188,hinge_plateau_smooth,-4.974888935832137,-0.4890085590454754,-9.821537981137975,76.17070520495017,2.0449539818934026
189,hinge_plateau_smooth,-5.032616220514821,-0.4943796705356329,-9.823663987324176,93.20850567534944,2.022736895545392
190,hinge_plateau_smooth,-5.124320829797387,-0.5023815858167654,-9.874307462178548,105.04928540177912,1.990518817233743
191,hinge_plateau_smooth,-4.897175684238225,-0.4816994317416509,-9.822078271561818,89.44496767682631,2.0759833499997327
192,hinge_plateau_smooth,-4.940192727437414,-0.48555281242385834,-9.823176672962937,75.89790093208026,2.059508202636174
193,hinge_plateau_smooth,-4.808855807718608,-0.47268948729848687,-9.825615224307128,60.94148958838984,2.115553713104973
194,hinge_plateau_smooth,-5.093646758098598,-0.4998109555776591,-9.866736089423494,77.87743572710474,2.00075646369985
195,hinge_plateau_smooth,-5.024451156322724,-0.49395655445978054,-9.821172292664393,79.01016747080206,2.0244695428602175
196,hinge_plateau_smooth,-4.921473613568372,-0.4839529625875217,-9.818835091319215,66.58427086919873,2.0663165169056126
197,hinge_plateau_smooth,-4.997255948520308,-0.490978675984195,-9.823050417384925,75.0364348549673,2.0367483333068233
198,hinge_plateau_smooth,-4.841761374142307,-0.47607177004172896,-9.818592321919514,66.8154627376793,2.100523624646652
199,hinge_plateau_smooth,-5.010900300408633,-0.49276038898675173,-9.819960252740978,94.06483323187574,2.029383900066054
200,hinge_plateau_smooth,-5.143704520928324,-0.5045447073714622,-9.862821420824101,87.89513132976224,1.9819849170744894
201,hinge_plateau_smooth,-5.040197221703171,-0.49456769235455317,-9.863297284717964,75.40380270207274,2.0219679034009865
202,hinge_plateau_smooth,-4.931878704618872,-0.4852160964038811,-9.824376066718429,81.61374716038564,2.0609373996686755
203,hinge_plateau_smooth,-4.938947759010869,-0.48587295985969603,-9.821464685547722,89.91667369336133,2.0581511683399025
204,hinge_plateau_smooth,-5.035626300074081,-0.49425988828576173,-9.86316646416106,89.89698978594201,2.02322709914473
205,hinge_plateau_smooth,-4.965285258123973,-0.4880370941864951,-9.833578063239301,92.1124259773979,2.04902457602509
206,hinge_plateau_smooth,-5.102062457279679,-0.5001899313060901,-9.869979760778481,81.93952960138526,1.9992405632572643
207,hinge_plateau_smooth,-5.1049914678210895,-0.5008542367694566,-9.862854408502187,82.8971815590715,1.9965888807291858
208,hinge_plateau_smooth,-5.246972879028234,-0.5143768969661506,-9.871079070152737,60.23519816841896,1.9440997562256506
209,hinge_plateau_smooth,-4.946884033524132,-0.48631034048795163,-9.827738456341569,66.35158259467096,2.05630009634717
210,hinge_plateau_smooth,-5.113575321618606,-0.5017288314734216,-9.867244289853573,69.37780315883782,1.9931085025815853
211,hinge_plateau_smooth,-5.007949677700871,-0.49213632821069647,-9.824023557687918,95.56554343124529,2.031957290443866
212,hinge_plateau_smooth,-4.867803233086265,-0.4791061841608603,-9.82344243760512,63.76533136017305,2.0872199797451354
213,hinge_plateau_smooth,-5.006256248028443,-0.4922624805106299,-9.820535771326213,84.45136867087304,2.031436559948034
214,hinge_plateau_smooth,-5.14246004680913,-0.5048741479262054,-9.86247655429364,87.34609217199632,1.9806916319790735
