dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
4,4,-10.293,-10.365,-10.221,961,0.2872043782104803,0.2592486681620358,0.3128857103935735
4,5,-10.161000000000001,-10.221,-10.101,1009,0.2425948094535973,0.22232691460125853,0.25927168436316955
4,6,-10.0475,-10.101,-9.994,979,0.27469688523485325,0.24889944030230385,0.30177819417533946
4,7,-9.9415,-9.994,-9.889,962,0.3180008413786976,0.2853083307119136,0.35862752112183044
4,8,-9.834,-9.889,-9.779,894,0.3224575344487047,0.2786342992460663,0.36744265715220087
4,9,-9.7265,-9.779,-9.674,848,0.3302861749997957,0.2988591000238731,0.3675277549051139
4,10,-9.621500000000001,-9.674,-9.569,814,0.31777620049458577,0.2750543295482079,0.350169569979633
4,11,-9.5135,-9.569,-9.458,802,0.32638880477327414,0.2850573544370373,0.3796399178171313
4,12,-9.3975,-9.458,-9.337,777,0.3337957633751334,0.29708687376615567,0.37469717560512855
4,13,-9.272,-9.337,-9.207,780,0.3714597629172935,0.33282410598584855,0.4206306362465412
4,14,-9.136,-9.207,-9.065,778,0.3336967706640408,0.2937417908299544,0.3796510598562649
4,15,-8.9845,-9.065,-8.904,754,0.3563160867980023,0.30712084278225427,0.4087381388643508
4,16,-8.812000000000001,-8.904,-8.72,781,0.3252032807942177,0.27640957124914806,0.3816658239892522
4,17,-8.599,-8.72,-8.478,810,0.30145457460583364,0.2677653609633762,0.3452589304869148
4,18,-8.301,-8.478,-8.124,784,0.35444127691326444,0.2987742035711577,0.4191560147197566
4,19,-7.8125,-8.124,-7.501,807,0.2521029971680955,0.21550775471144865,0.2957281089792943
4,20,-5.2645,-7.501,-3.028,812,0.4536209989039975,0.3418593754423384,0.5992593978431326
5,1,-11.2845,-11.825999999999999,-10.743,740,0.7722380702065706,0.7060889265547958,0.8545744122339165
5,2,-10.6405,-10.743,-10.538,377,0.5829176001341054,0.5146662117946965,0.6468400865298386
5,3,-10.4515,-10.538,-10.365,367,0.43545120441160623,0.3610227111014654,0.5430411875741785
5,4,-10.293,-10.365,-10.221,336,0.3039042469366786,0.2647973114644905,0.34369520714897756
5,5,-10.161000000000001,-10.221,-10.101,319,0.2648218060891213,0.23142891262259416,0.31059096010944326
5,6,-10.0475,-10.101,-9.994,372,0.22217701715087285,0.1805109000957004,0.2662365327454954
5,7,-9.9415,-9.994,-9.889,357,0.19009759739706902,0.16287770340728394,0.22341156081418426
5,8,-9.834,-9.889,-9.779,322,0.23130496146062823,0.19086149227400231,0.2863339472838958
5,9,-9.7265,-9.779,-9.674,286,0.18581611223410424,0.15817754375145862,0.21343488104960817
5,10,-9.621500000000001,-9.674,-9.569,270,0.20134955655125314,0.17334880983300846,0.23793974744731342
5,11,-9.5135,-9.569,-9.458,287,0.18580353532199725,0.16125457535279888,0.21531476840238864
5,12,-9.3975,-9.458,-9.337,286,0.1912698671585272,0.16150167752735084,0.22141328183603987
5,13,-9.272,-9.337,-9.207,294,0.3610019021381351,0.3084469989479096,0.42041856682258333
5,14,-9.136,-9.207,-9.065,343,0.49238278988499457,0.41977846921024214,0.544984683655519
5,15,-8.9845,-9.065,-8.904,329,0.3915775831951722,0.3305586235971302,0.46469010300189173
5,16,-8.812000000000001,-8.904,-8.72,389,0.43231556816202504,0.3622604084006061,0.513805941096773
5,17,-8.599,-8.72,-8.478,410,0.36218288105591057,0.31427638969364796,0.4128567781047617
5,18,-8.301,-8.478,-8.124,371,0.3847201885135258,0.30553750007179764,0.4792701544804475
5,19,-7.8125,-8.124,-7.501,385,0.29639500520373363,0.23217415083983317,0.3720934657727411
5,20,-5.2645,-7.501,-3.028,431,0.5724059906434702,0.3748953686919022,0.872719513082964
