subject,time,pair_id,file_rep1,file_rep2,fit_success_rep1,fit_success_rep2,depth_rep1,depth_rep2,depth_ratio,gamma_rep1,gamma_rep2,delta_gamma,gamma_mean,xmin_rep1,xmin_rep2,delta_xmin,ks_rep1,ks_rep2,n_tail_rep1,n_tail_rep2,tail_fraction_rep1,tail_fraction_rep2,QC_traffic,QC_reason,z_delta_gamma,gamma_outlier,QC_pass_main,QC_pass
8,3,8_3,8_3-1,8_3-2,True,True,1467560,1090174,1.3461704278399595,2.3536780797022994,2.194809115682588,0.15886896401971118,2.2742435976924438,0.00014582027310638065,0.0002678471510052524,0.00012202687789887175,0.047438325943913506,0.053231453945672635,154,64,0.003094046973258594,0.0013661785424582676,PASS,pass,3.0619603644723297,False,True,True
8,4,8_4,8_4-1,8_4-2,True,True,1930202,1518104,1.271455710544205,2.2273591353394115,2.1372820428259045,0.09007709251350704,2.182320589082658,8.703752249764533e-05,0.00014360017495507554,5.656265245743021e-05,0.03684273774780533,0.04594561387501939,428,218,0.0043952884151288295,0.002431597381013463,PASS,pass,1.182960343390435,False,True,True
8,5,8_5,8_5-1,8_5-2,True,True,883672,687354,1.2856141085961528,2.3832515675383092,2.3172823252420622,0.06596924229624701,2.3502669463901857,0.00022180175449714373,0.00013093689714470272,9.086485735244101e-05,0.029505223759535182,0.029509125513622614,150,302,0.0016130419821059876,0.003877959833581591,PASS,pass,0.5244719191819817,False,True,True
8,6,8_6,8_6-1,8_6-2,True,True,1383938,922068,1.500906657643471,2.1890996756524634,2.1691237999760453,0.01997587567641812,2.1791117378142544,0.00017486332480212263,0.00016267780684287928,1.2185517959243346e-05,0.02513120445074868,0.0292504001037866,214,253,0.0017539258433596696,0.0027849633991964334,PASS,pass,-0.731803494701644,False,True,True
9,2,9_2,9_2-1,9_2-2,True,True,1429618,2536870,1.774508994710475,2.430875601632053,2.4088978601087887,0.02197774152326426,2.419886730870421,7.834260620669297e-05,9.381639579481802e-05,1.5473789588125046e-05,0.028240735906381653,0.020960694508742883,816,607,0.012406306539157405,0.008100353639821178,PASS,pass,-0.677123982630399,False,True,True
9,3,9_3,9_3-1,9_3-2,True,True,310242,672998,2.169267861862675,2.48087895479031,2.3939343558859254,0.08694459890438466,2.4374066553381177,0.00036100850303956265,0.00018722195311130196,0.0001737865499282607,0.04141928415590701,0.03194876741259016,107,190,0.002746759080990887,0.0026190279271083175,PASS,pass,1.0973985549304566,False,True,True
9,4,9_4,9_4-1,9_4-2,True,True,1280020,2708156,2.11571381697161,2.4744202223697074,2.4240289380846276,0.050391284285079774,2.4492245802271677,9.06235840064999e-05,4.3572083735205804e-05,4.70515002712941e-05,0.020739895736687997,0.017828468144791,542,1238,0.0041203569962445456,0.00568393118678463,PASS,pass,0.09897130711103021,False,True,True
9,5,9_5,9_5-1,9_5-2,True,True,764002,1328360,1.7386865479409739,2.400680694856109,2.554528030576852,0.15384733572074305,2.4776043627164803,0.00014397868068408197,7.076394953175344e-05,7.321473115232854e-05,0.03619815928858533,0.035136898381788156,236,698,0.0037546734547768672,0.008524566138664648,PASS,pass,2.924798233641573,False,True,True
9,6,9_6,9_6-1,9_6-2,True,True,2280082,3959872,1.7367235038038105,2.435169122465847,2.4079539689483744,0.0272151535174725,2.4215615457071107,3.771794172314855e-05,3.939521277455433e-05,1.677271051405778e-06,0.023972602739726026,0.018836355632984247,1460,1217,0.007660664064139697,0.004700239067213032,PASS,pass,-0.5340678768426053,False,True,True
10,1,10_1,10_1-1,10_1-2,True,True,1462256,1217362,1.2011677709670583,2.469596518525556,2.4558040922929285,0.013792426232627442,2.4627003054092422,5.197448326421639e-05,5.257269407127871e-05,5.982108070623208e-07,0.05089140981830961,0.05356687537202359,682,707,0.004917264501243736,0.005838728858350952,PASS,pass,-0.9006999265161739,False,True,True
10,2,10_2,10_2-1,10_2-2,True,True,1405132,1137148,1.2356632557943206,2.5151918735122782,2.407888064220943,0.1073038092913352,2.4615399688666106,5.408744516529408e-05,6.155751054392217e-05,7.4700653786280904e-06,0.06043241166253932,0.06658357587123753,597,478,0.005032665964172813,0.0045912094667281385,PASS,pass,1.6534956040249953,False,True,True
10,3,10_3,10_3-1,10_3-2,True,True,1456984,1060916,1.3733264462030925,2.5295849158371153,2.44439323588532,0.08519167995179533,2.4869890758612176,5.490794682714429e-05,7.72916988715412e-05,2.2383752044396903e-05,0.05059725977550478,0.060327250081277706,616,378,0.004565668544322561,0.0034814323607427057,PASS,pass,1.0495188465179133,False,True,True
10,4,10_4,10_4-1,10_4-2,True,True,946282,885492,1.0686511001793353,2.515978405858107,2.368802626578005,0.14717577928010206,2.4423905162180564,5.283837164819789e-05,7.001757215197878e-05,1.717920050378089e-05,0.06791013323024853,0.0665820921341369,815,507,0.008417421480433368,0.005521131668644982,PASS,pass,2.742569513617829,False,True,True
10,5,10_5,10_5-1,10_5-2,True,True,725454,622466,1.1654516069954022,1.780688709602837,1.7333892986574106,0.047299410945426335,1.7570390041301238,0.0002812032189497887,0.0003759241468610334,9.472092791124471e-05,0.05943207455652588,0.06846958598668862,77,59,0.0012236400908989782,0.001049597950615527,PASS,pass,0.014519031817612618,False,True,True
10,6,10_6,10_6-1,10_6-2,True,True,734784,552982,1.3287665782973044,2.6584512109878675,2.6272498894313214,0.03120132155654609,2.6428505502095945,5.17158784078042e-05,6.14848222907798e-05,9.768943882975603e-06,0.08790142868881826,0.09353964109073909,838,687,0.011196921514657546,0.011321874124491175,PASS,pass,-0.4251885911732257,False,True,True
