subject,time,replica,pair_id,file,depth,fit_success,fit_message,n_total,n_tail,tail_fraction,gamma_hat,xmin_hat,ks_distance
3,4,1,3_4,3_4-1,2429228,True,ok,129108,506,0.003919199429934629,2.3206323051075,8.974044428929684e-05,0.02209100804483277
3,4,2,3_4,3_4-2,2861578,True,ok,136869,1057,0.007722712959106883,2.3699272833008873,5.3117545633912475e-05,0.019421972626115558
3,5,1,3_5,3_5-1,779344,True,ok,75260,533,0.007082115333510497,2.305740028607511,0.00012318052105360407,0.02603910199962378
3,5,2,3_5,3_5-2,873870,True,ok,84400,340,0.004028436018957346,2.3135431480363464,0.00016936157552038632,0.018863763383752064
3,6,1,3_6,3_6-1,1643682,True,ok,76505,905,0.01182929220312398,2.396677984248905,8.03075047363176e-05,0.016574585635359115
3,6,2,3_6,3_6-2,666806,True,ok,50916,333,0.006540183832194202,2.405862652391846,0.00017396364159890583,0.021613357472270278
4,1,1,4_1,4_1-1,2892374,True,ok,193510,465,0.0024029765903570877,2.110094390069895,7.398766549554103e-05,0.025304653178419678
4,1,2,4_1,4_1-2,3072662,True,ok,198856,399,0.0020064770487186706,2.0726775809514084,8.266447790222289e-05,0.025727344681170217
4,2,1,4_2,4_2-1,1196370,True,ok,123267,303,0.002458078804546229,2.1225212800790123,0.00015045512675844429,0.020321349149000453
4,2,2,4_2,4_2-2,1033302,True,ok,108362,373,0.003442166072977612,2.0884291998076536,0.00012387472394324216,0.02741998316867067
4,3,1,4_3,4_3-1,460128,True,ok,60745,208,0.003424150135813647,2.194165651041696,0.00016082481396480978,0.03627789466234854
4,3,2,4_3,4_3-2,469054,True,ok,61352,274,0.004466032077193897,2.2044607441425557,0.0001279170415346634,0.036985413751073615
4,4,1,4_4,4_4-1,1945374,True,ok,157375,332,0.0021096108022239874,2.1185061658469673,8.224639580872367e-05,0.021700343391079735
4,4,2,4_4,4_4-2,1876560,True,ok,153007,343,0.0022417275026632767,2.1084873355075997,7.993349533188388e-05,0.022421968487355504
4,5,1,4_5,4_5-1,2195374,True,ok,181022,299,0.0016517329385378572,2.1464172921767366,0.00010567675484905988,0.021117120156301683
4,5,2,4_5,4_5-2,2649688,True,ok,200122,218,0.0010893355053417416,2.180077053351743,0.00013963908203531888,0.03101540348907461
4,6,1,4_6,4_6-1,1122462,True,ok,122427,289,0.002360590392642146,2.1740960719011015,0.00013719840849846143,0.02549068733077231
4,6,2,4_6,4_6-2,1256118,True,ok,132858,308,0.0023182646133465806,2.1827721741613306,0.00012737656812496914,0.025679736376155393
5,1,1,5_1,5_1-1,382160,True,ok,29144,71,0.0024361789733735933,1.8084342519005008,0.0003401716558509525,0.05210015467096174
5,1,2,5_1,5_1-2,288900,True,ok,25111,72,0.0028672693242005496,1.7985056836938977,0.0003322949117341641,0.046935806293069926
5,2,1,5_2,5_2-1,2551174,True,ok,55710,5537,0.09938969664333154,3.0235018934649376,2.9006253591483763e-05,0.05093010655589669
5,2,2,5_2,5_2-2,2731364,True,ok,56043,5488,0.0979248077369163,3.014611958963956,2.9289395335078005e-05,0.04701166180758017
5,3,1,5_3,5_3-1,1206214,True,ok,36465,2698,0.07398875634169752,3.419163890553987,5.30585783285553e-05,0.07081666678593002
5,3,2,5_3,5_3-2,1130042,True,ok,36419,2083,0.057195419973090966,3.3300769085064976,5.840490884409606e-05,0.07708072938831484
5,4,1,5_4,5_4-1,1000988,True,ok,60954,102,0.001673393050497096,1.8517527363676112,0.0001938085171850212,0.08657003894557125
5,4,2,5_4,5_4-2,994738,True,ok,59020,139,0.0023551338529312097,1.9657683116274591,0.0001608463736179778,0.08768194381008182
5,5,1,5_5,5_5-1,1211810,True,ok,69167,1193,0.01724810964766435,2.603021068596598,5.281355988149958e-05,0.0558088778634485
5,5,2,5_5,5_5-2,1165250,True,ok,66213,865,0.013063899838400315,2.540211057812296,6.35056854752199e-05,0.06405030209369605
5,6,1,5_6,5_6-1,424670,True,ok,39669,658,0.016587259572966296,2.452077938386539,9.890032260343326e-05,0.07437822922258153
5,6,2,5_6,5_6-2,422160,True,ok,41514,789,0.019005636652695477,2.5090989999824935,8.527572484366117e-05,0.0824011383786859
6,1,1,6_1,6_1-1,239810,True,ok,26850,123,0.0045810055865921784,2.118181996372833,0.0004253367249072182,0.053599046683264095
6,1,2,6_1,6_1-2,198272,True,ok,22208,108,0.004863112391930836,2.129364181153809,0.0005043576500968367,0.05171553904683546
6,2,1,6_2,6_2-1,783464,True,ok,73875,262,0.0035465313028764807,2.1286846215270705,0.00011742722065085314,0.03486303808589619
6,2,2,6_2,6_2-2,713800,True,ok,68152,185,0.0027145204836248387,2.0904846109162882,0.0001597086018492575,0.0479567093567278
6,3,1,6_3,6_3-1,161408,True,ok,16061,241,0.015005292323018492,2.021231637296988,0.0002478191911181602,0.04763989964933346
6,3,2,6_3,6_3-2,199182,True,ok,20343,61,0.0029985744482131445,1.8611659118492987,0.0007530800975991806,0.0497196498597694
6,4,1,6_4,6_4-1,207814,True,ok,21008,224,0.010662604722010662,2.2648754243412044,0.0003079677018872646,0.04420428729770909
6,4,2,6_4,6_4-2,190324,True,ok,20454,262,0.012809230468368045,2.303426124224944,0.0002837266976314075,0.03680902734953628
6,5,1,6_5,6_5-1,363634,True,ok,37091,137,0.0036936183979941225,2.080270401204011,0.0003740024310158016,0.028426807803886844
6,5,2,6_5,6_5-2,324054,True,ok,34081,114,0.003344972271940377,2.1419600193794834,0.0004690576261981028,0.03309140625397322
6,6,1,6_6,6_6-1,1046858,True,ok,93461,314,0.003359690138132483,2.008971536447408,0.0001604802179474198,0.02781974104608559
6,6,2,6_6,6_6-2,1221470,True,ok,109950,203,0.001846293769895407,2.043908970850988,0.00024396833323782,0.024683520158369818
7,1,1,7_1,7_1-1,810900,True,ok,75963,771,0.010149678132775166,2.59121124405892,6.659267480577136e-05,0.05317769130998703
7,1,2,7_1,7_1-2,993552,True,ok,86710,439,0.00506285318879022,2.4375902019737907,8.655812680161682e-05,0.04966445914641804
7,2,1,7_2,7_2-1,1928464,True,ok,130561,1437,0.011006349522445447,2.781162431173151,3.6298318247060876e-05,0.044150398917287226
7,2,2,7_2,7_2-2,2209326,True,ok,138895,1171,0.008430829043522084,2.7288059089525687,3.9831152125127754e-05,0.04245577955267499
7,4,1,7_4,7_4-1,1024914,True,ok,109464,520,0.004750420229481839,2.4938647516407437,6.829841333028917e-05,0.05590766577004891
7,4,2,7_4,7_4-2,1304492,True,ok,131642,1113,0.008454748484526216,2.665793210043711,4.292858829337397e-05,0.054288049454616405
7,5,1,7_5,7_5-1,847344,True,ok,78688,243,0.003088145587637251,2.3414674500630417,0.00010621424120546083,0.06370988385465826
7,5,2,7_5,7_5-2,1127776,True,ok,94152,775,0.008231370549749342,2.6986587348371085,5.4975456118945607e-05,0.058465977989437756
7,6,1,7_6,7_6-1,510398,True,ok,56239,155,0.002756094525151585,2.238526792175884,0.00021551808588591648,0.057470139617573746
7,6,2,7_6,7_6-2,627732,True,ok,68635,602,0.008771035186129525,2.571936809729142,9.239611808861106e-05,0.05199447571737881
8,1,1,8_1,8_1-1,890416,True,ok,90571,119,0.0013138863433107728,2.202305823789959,0.0002672907944151947,0.034867989271469724
8,1,2,8_1,8_1-2,667162,True,ok,72817,201,0.0027603444250655753,2.1685275842560046,0.0001768685866401264,0.035625695766041465
8,2,1,8_2,8_2-1,2363346,True,ok,118694,318,0.002679158171432423,2.321510353227601,9.054958520673655e-05,0.03793115058739582
8,2,2,8_2,8_2-2,1933962,True,ok,111790,296,0.0026478218087485463,2.275274051765927,9.410732992685482e-05,0.03601750963650474
8,3,1,8_3,8_3-1,1467560,True,ok,49773,154,0.003094046973258594,2.3536780797022994,0.00014582027310638065,0.047438325943913506
8,3,2,8_3,8_3-2,1090174,True,ok,46846,64,0.0013661785424582676,2.194809115682588,0.0002678471510052524,0.053231453945672635
8,4,1,8_4,8_4-1,1930202,True,ok,97377,428,0.0043952884151288295,2.2273591353394115,8.703752249764533e-05,0.03684273774780533
8,4,2,8_4,8_4-2,1518104,True,ok,89653,218,0.002431597381013463,2.1372820428259045,0.00014360017495507554,0.04594561387501939
8,5,1,8_5,8_5-1,883672,True,ok,92992,150,0.0016130419821059876,2.3832515675383092,0.00022180175449714373,0.029505223759535182
8,5,2,8_5,8_5-2,687354,True,ok,77876,302,0.003877959833581591,2.3172823252420622,0.00013093689714470272,0.029509125513622614
8,6,1,8_6,8_6-1,1383938,True,ok,122012,214,0.0017539258433596696,2.1890996756524634,0.00017486332480212263,0.02513120445074868
8,6,2,8_6,8_6-2,922068,True,ok,90845,253,0.0027849633991964334,2.1691237999760453,0.00016267780684287928,0.0292504001037866
9,2,1,9_2,9_2-1,1429618,True,ok,65773,816,0.012406306539157405,2.430875601632053,7.834260620669297e-05,0.028240735906381653
9,2,2,9_2,9_2-2,2536870,True,ok,74935,607,0.008100353639821178,2.4088978601087887,9.381639579481802e-05,0.020960694508742883
9,3,1,9_3,9_3-1,310242,True,ok,38955,107,0.002746759080990887,2.48087895479031,0.00036100850303956265,0.04141928415590701
9,3,2,9_3,9_3-2,672998,True,ok,72546,190,0.0026190279271083175,2.3939343558859254,0.00018722195311130196,0.03194876741259016
9,4,1,9_4,9_4-1,1280020,True,ok,131542,542,0.0041203569962445456,2.4744202223697074,9.06235840064999e-05,0.020739895736687997
